电影名	评分	评价人次	短评	
爱在午夜降临前	8.8	135699人评价	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。	
这个男人来自地球	8.5	207442人评价	科幻真正的魅力不是视觉效果能取代的。 	
碧海蓝天	8.7	114789人评价	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。	
疯狂的石头	8.3	364515人评价	中国版《两杆大烟枪》。	
勇闯夺命岛	8.6	158386人评价	类型片的极致。 	
E.T. 外星人	8.5	176055人评价	生病的E.T.皮肤的颜色就像柿子饼。	
变脸	8.4	238514人评价	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯	
卡萨布兰卡	8.6	139589人评价	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。	
海盗电台	8.6	179491人评价	生命不止，摇滚不死。	
发条橙	8.5	206015人评价	我完全康复了。	
黄金三镖客	9.1	59329人评价	最棒的西部片。	
彗星来的那一夜	8.4	216288人评价	小成本大魅力。	
美国丽人	8.5	206839人评价	每个人的内心都是深不可测的大海。 	
聚焦	8.8	147194人评价	新闻人的理性求真。	
血钻	8.5	154550人评价	每个美丽事物背后都是滴血的现实。	
荒野生存	8.6	142317人评价	出门必备：本草纲目。	
国王的演讲	8.3	380357人评价	皇上无话儿。	
非常嫌疑犯	8.6	134487人评价	我不信仰上帝，但我敬畏上帝。	
英国病人	8.5	190193人评价	In memory, love lives forever...	
迁徙的鸟	9.1	55927人评价	最美的飞翔。	
黑鹰坠落	8.6	135222人评价	还原真实而残酷的战争。	
我爱你	9.0	67592人评价	你要相信，这世上真的有爱存在，不管在什么年纪 	
勇士	8.9	95918人评价	热血沸腾，相当完美的娱乐拳击大餐。	
遗愿清单	8.5	150742人评价	用剩余不多的时间，去燃烧整个生命。	
荒岛余生	8.5	154804人评价	一个人的独角戏。	
燕尾蝶	8.6	115092人评价	现实与童话交相辉映的旅程。	
枪火	8.7	112615人评价	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。	
2001太空漫游	8.7	110461人评价	现代科幻电影的开山之作，最伟大导演的最伟大影片。	
叫我第一名	8.6	119828人评价	乐观比一切都有力量。	
穆赫兰道	8.3	259586人评价	大卫·林奇的梦境迷宫。	
千钧一发	8.7	99814人评价	一部能引人思考的科幻励志片。	
上帝也疯狂	8.7	105507人评价	纯净原始的笑与感动。	
大卫·戈尔的一生	8.6	109334人评价	捍卫人权只是信仰，一点不妨碍其行为的残忍。	
蓝色大门	8.3	294464人评价	青春的窃窃私语。 	
